start station name,start_lat,start_lng,end_lat,end_lng,NTACode
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.752694,-74.002353,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.739445,-73.97680600000001,MN19
E 51 St & 2 Ave,40.755293,-73.967641,40.7047177,-74.00926027,MN19
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.751551,-73.993934,MN19
E 58 St & 1 Ave (NE Corner),40.75892386377695,-73.96226227283478,40.7535992020056,-73.9379560947418,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.752643,-73.97499599999999,MN19
E 47 St & Park Ave,40.75510267,-73.97498696,40.76360467795863,-73.98917958140373,MN19
E 51 St & Lexington Ave,40.75714758,-73.97207836,40.745712100000006,-73.98194829,MN19
E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,40.7869946,-73.94164802,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.74964,-73.98805,MN19
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.74322681432173,-73.97449783980845,MN19
E 43 St & 2 Ave,40.75022392,-73.97121414,40.754623240291046,-73.99516761302948,MN19
E 47 St & 2 Ave,40.75323098,-73.97032517,40.78948541553215,-73.9524292945862,MN19
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.76669671,-73.99061728,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.75110165,-73.94073717,MN19
E 51 St & Lexington Ave,40.75714758,-73.97207836,40.75455731,-73.96592976,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.75461,-73.99176999999999,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.74286877312112,-73.98918628692627,MN19
E 51 St & Lexington Ave,40.75714758,-73.97207836,40.77565541,-73.95068615,MN19
E 45 St & 3 Ave,40.75255434,-73.97282625,40.75797322,-73.96603308,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.72903917,-73.99404649,MN19
